DATE,TIME,LONGITUDE,LATITUDE,DESCRIPTION
21/01/2026,10:02,4.155096,9.297234,FHS Entrance
21/01/2026,10:04,4.155096,9.297513,FHS Entrance
21/01/2026 ,10:05,4.155121,9.297781,FHS Entrance
21/01/2026,10:06,4.155138,9.298028,FHS Entrance
21/01/2026,10:07,4.155112,9.298239,FHS Entrance
21/01/2026,10:08,4.155201,9.298778,Ms Bright
21/01/2026,10:10,4.15539,9.298887,Ms Bright
21/01/2026,10:11,4.155849,9.298812,Ms Bright
21/01/2026,10:12,4.156334,9.298715,Parkline agency
21/01/2026,10:13,4.157088,9.298511,Mille 18
21/01/2026,10:14,4.157297,9.298505,Mille 19
21/01/2026,10:15,4.15783,9.298376,Mille 20
21/01/2026,10:16,4.158135,9.298334,Mille 18 Junction
21/01/2026,10:17,4.158785,9.298146,Mille 18 Junction
21/01/2026,10:17,4.158476,9.298266,Mille 18 Junction
21/01/2026,10:18,4.158785,9.298146,School
21/01/2026,10:19,4.160192,9.298053,School
21/01/2026,10:20,4.160555,9.297959,Landmark university
21/01/2026,10:21,4.160866,9.297974,Landmark university
21/01/2026,10:21,4.160879,9.297956,Landmark juction
21/01/2026,10:22,4.161359,9.297987,Landmark juction
21/01/2026,10:22,4.161144,9.297984,Landmark juction
21/01/2026,10:23,4.16161,9.297884,Hims Junction
21/01/2026,10:23,4.161641,9.297746,Hims Junction
21/01/2026,10:24,4.161605,9.297461,Hims Junction
21/01/2026,10:24,4.161494,9.297228,Hims Junction
21/01/2026,10:25,4.161386,9.296739,Hims unversity
21/01/2026,10:25,4.161438,9.296898,Hims unversity
21/01/2026,10:26,4.161309,9.296384,Hims unversity
21/01/2026,10:26,4.161214,9.296068,Hims unversity
21/01/2026,10:27,4.161127,9.295716,Hims unversity
21/01/2026,10:28,4.161062,9.295392,Hims unversity
21/01/2026,10:28,4.160964,9.295014,Hims unversity
21/01/2026,10:29,4.160866,9.294703,Hims unversity
21/01/2026,10:29,4.160837,9.294491,Mayor street
21/01/2026,10:31,4.161093,9.294418,Mayor street
21/01/2026,10:32,4.161318,9.294322,Mayor street
21/01/2026,10:32,4.161604,9.294347,Mayor street
21/01/2026,10:33,4.161875,9.294342,Mayor street
21/01/2026,10:33,4.161921,9.293976,Mayor street
21/01/2026,10:34,4.161809,9.29366,Mayor street
21/01/2026,10:34,4.161751,9.293298,Mayor street
21/01/2026,10:35,4.161704,9.253015,Mayor street
21/01/2026,10:36,4.161684,9.292839,Mayor street
21/01/2026,10:36,4.161647,9.292497,Mayor street
21/01/2026,10:37,4.161586,9.292197,Mayor street
21/01/2026,10:39,4.161533,9.292004,Mayor street
21/01/2026,10:40,4.161502,9.291648,Mayor street
21/01/2026,10:40,4.161446,9.291364,Mayor street
21/01/2026,10:41,4.161414,9.290934,Mayor street
21/01/2026,10:42,4.161336,9.290713,Mayor street
21/01/2026,10:42,4.161309,9.290329,Mayor street
21/01/2026,10:43,4.161254,9.290018,Mayor street
21/01/2026,10:44,4.161197,9.289869,Mayor street
21/01/2026,10:44,4.16113,9.289541,Mayor street
21/01/2026,10:45,4.161056,9.289199,Mayor street
21/01/2026,10:45,4.160974,9.288889,Mayor street
21/01/2026,10:46,4.160942,9.288621,Mayor street
21/01/2026,10:46,4.160862,9.288387,Mayor street
21/01/2026,10:47,4.160783,9.288037,Mayor street
21/01/2026,10:48,4.160701,9.287753,Mayor street
21/01/2026,10:48,4.160636,9.287467,Mayor street
21/01/2026,10:49,4.16064,9.287345,Mayor street
21/01/2026,10:49,4.160593,9.287078,Premier league
21/01/2026,10:50,4.160526,9.286802,Premier league
21/01/2026,10:50,4.160521,9.286666,Premier league
21/01/2026,10:51,4.160459,9.286545,Premier league
21/01/2026,10:52,4.160382,9.286106,Premier league
21/01/2026,10:53,4.160326,9.285918,Premier league
21/01/2026,10:53,4.160244,9.285551,Premier league
21/01/2026,10:54,4.160205,9.285249,Mayor street
21/01/2026,10:55,4.160101,9.285032,Mayor street
21/01/2026,10:55,4.160042,9.284641,Mayor street
21/01/2026,10:56,4.159995,9.284486,Mayor street
21/01/2026,10:56,4.159967,9.284377,Mayor street
21/01/2026,10:57,4.15998,9.284141,Health center
21/01/2026,10:58,4.160381,9.284141,Baptist Church
21/01/2026,10:58,4.160628,9.284061,Baptist Church
21/01/2026,10:59,4.160886,9.28397,Baptist Church
21/01/2026,11:00,4.161425,9.283848,Baptist Church
21/01/2026,11:00,4.161698,9.283796,Huib Street
21/01/2026,11:01,4.161938,9.283808,Huib Street
21/01/2026,11:01,4.162183,9.28369,Huib Street
21/01/2026,11:02,4.162429,9.283591,HUIB Campus B
